Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
"Clinical and Experimental Dental Research","Clin Exp Dent Res","","2057-4347","Wiley","","v.10(3);Jun 2024","v.1;2015","Immediate","Some"," Full "," ",http://europepmc.org/journals/3398/
"Clinical and Experimental Emergency Medicine","Clin Exp Emerg Med","","2383-4625","The Korean Society of Emergency Medicine","","v.11(1);Mar 2024","v.1;2014","Immediate","All"," Full "," ",http://europepmc.org/journals/3061/
"Clinical and Experimental Gastroenterology","Clin Exp Gastroenterol","","1178-7023","Dove Press","","v.17;2024","v.1;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/1589/
"Clinical and Experimental Hepatology","Clin Exp Hepatol","2392-1099","2449-8238","Termedia Publishing","","v.10(1);Mar 2024","v.1;2015","Immediate","All"," Full "," ",http://europepmc.org/journals/3227/
"Clinical and Experimental Otorhinolaryngology","Clin Exp Otorhinolaryngol","1976-8710","2005-0720","Korean Society of Otorhinolaryngology - Head and Neck Surgery","","v.17(2);May 2024","v.1;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/540/
"Clinical and Experimental Pediatrics","Clin Exp Pediatr","","2713-4148","Korean Pediatric Society","","v.67(6);Jun 2024","v.63;2020","Immediate","All"," Full "," ",http://europepmc.org/journals/3790/
"Clinical and Experimental Reproductive Medicine","Clin Exp Reprod Med","2233-8233","2233-8241","Korean Society for Reproductive Medicine","","v.51(2);Jun 2024","v.38;2011","Immediate","All"," Full "," ",http://europepmc.org/journals/1789/
"Clinical and Experimental Vaccine Research","Clin Exp Vaccine Res","2287-3651","2287-366X","Korean Vaccine Society","","v.13(2);Apr 2024","v.1;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/2079/
"Clinical Hematology International","Clin Hematol Int","","2590-0048","International Academy for Clinical Hematology","","v.6(2);2024","v.1;2019","Immediate","All"," Full "," ",http://europepmc.org/journals/4145/
"Clinical Hypertension","Clin Hypertens","","2056-5909","BMC","","v.30;2024","v.20;2014","Immediate","All"," Full "," ",http://europepmc.org/journals/2881/
"Clinical Infectious Diseases: An Official Publication of the Infectious Diseases Society of America","Clin Infect Dis","1058-4838","1537-6591","Oxford University Press","","v.78(6);Jun 15, 2024","v.46;2008","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Clin+Infect+Dis%22%5Bjournal%5D
"Clinical Interventions in Aging","Clin Interv Aging","1176-9092","1178-1998","Dove Press","","v.19;2024","v.1;2006","Immediate","All"," Full "," ",http://europepmc.org/journals/561/
"Clinical Journal of the American Society of Nephrology : CJASN","Clin J Am Soc Nephrol","1555-9041","1555-905X","American Society of Nephrology","","v.18(7);Jul 2023","v.3;2008","12 months","Some"," Full "," ",http://europepmc.org/journals/562/
"Clinical Kidney Journal","Clin Kidney J","2048-8505","2048-8513","Oxford University Press","","v.17(6);Jun 2024","v.5;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/1834/
"Clinical Liver Disease","Clin Liver Dis (Hoboken)","","2046-2484","American Association for the Study of Liver Diseases","","v.23(1);Jan-Jun 2024","v.1;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/3633/
"Clinical Mass Spectrometry","Clin Mass Spectrom","2213-8005","2376-9998","Elsevier","","v.18;Nov 2020","v.11;2019","Immediate","Some"," Full "," Predecessor ",http://europepmc.org/journals/4160/
"Clinical Medicine","Clin Med (Lond)","1470-2118","1473-4893","Royal College of Physicians","","v.24(3);May 2024","v.1;2001","Immediate","Some"," Full "," ",http://europepmc.org/journals/3591/
"Clinical Medicine. Cardiology","Clin Med Cardiol","","1178-1165","Libertas Academica","","v.3;2009","v.3;2009","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/572/
"Clinical Medicine. Case Reports","Clin Med Case Rep","","1178-6450","Libertas Academica","","v.2;2009","v.1;2008","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/2240/
"Clinical Medicine. Circulatory, Respiratory and Pulmonary Medicine","Clin Med Circ Respirat Pulm Med","","1178-1157","Libertas Academica","","v.3;2009","v.2;2008","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/1436/
"Clinical Medicine Insights. Arthritis and Musculoskeletal Disorders","Clin Med Insights Arthritis Musculoskelet Disord","","1179-5441","SAGE Publications","","v.17;2024","v.3;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/1414/
"Clinical Medicine Insights: Blood Disorders","Clin Med Insights Blood Disord","","1179-545X","SAGE Publications","","v.14;2021","v.6;2013","","All"," Full "," No New Content ",http://europepmc.org/journals/2622/
"Clinical Medicine Insights. Cardiology","Clin Med Insights Cardiol","","1179-5468","SAGE Publications","","v.18;2024","v.4;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/571/
"Clinical Medicine Insights. Case Reports","Clin Med Insights Case Rep","","1179-5476","SAGE Publications","","v.17;2024","v.3;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/1617/
"Clinical Medicine Insights. Circulatory, Respiratory and Pulmonary Medicine","Clin Med Insights Circ Respir Pulm Med","","1179-5484","SAGE Publications","","v.17;2023","v.4;2010","Immediate","Some"," Full "," Predecessor ",http://europepmc.org/journals/1435/
"Clinical Medicine Insights. Ear, Nose and Throat","Clin Med Insights Ear Nose Throat","","1179-5506","SAGE Publications","","v.12;2019","v.4;2011","","All"," Full "," No New Content ",http://europepmc.org/journals/2241/
"Clinical Medicine Insights. Endocrinology and Diabetes","Clin Med Insights Endocrinol Diabetes","","1179-5514","SAGE Publications","","v.17;2024","v.3;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/1898/
"Clinical Medicine Insights. Gastroenterology","Clin Med Insights Gastroenterol","","1179-5522","SAGE Publications","","v.11;2018","v.5;2012","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/2439/
"Clinical Medicine Insights. Oncology","Clin Med Insights Oncol","","1179-5549","SAGE Publications","","v.18;2024","v.4;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/573/
"Clinical Medicine Insights. Pathology","Clin Med Insights Pathol","","1179-5557","SAGE Publications","","v.11;2018","v.3;2010","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/1431/
"Clinical Medicine Insights. Pediatrics","Clin Med Insights Pediatr","","1179-5565","SAGE Publications","","v.18;2024","v.4;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/2098/
"Clinical Medicine Insights. Reproductive Health","Clin Med Insights Reprod Health","","1179-5581","SAGE Publications","","v.13;2019","v.5;2011","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/2333/
"Clinical Medicine Insights. Women's Health","Clin Med Insights Womens Health","","1179-562X","SAGE Publications","","v.12;2019","v.4;2011","","All"," Full "," No New Content ",http://europepmc.org/journals/2392/
"Clinical Medicine. Oncology","Clin Med Oncol","","1177-9314","Libertas Academica","","v.3;2009","v.2;2008","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/574/
"Clinical Medicine. Pathology","Clin Med Pathol","","1178-1181","Libertas Academica","","v.2;2009","v.1;2008","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/1432/
"Clinical Medicine. Pediatrics","Clin Med Pediatr","","1178-220X","Libertas Academica","","v.3;2009","v.3;2009","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/2143/
"Clinical Medicine &#x0026; Research","Clin Med Res","1539-4182","1554-6179","Marshfield Clinic","","v.22(1);Mar 2024","v.1;2003","Immediate","No"," Full "," ",http://europepmc.org/journals/563/
"Clinical Microbiology Reviews","Clin Microbiol Rev","0893-8512","1098-6618","American Society for Microbiology (ASM)","","v.36(3);Sep 2023","v.1;1988","12 months","Some"," Full "," ",http://europepmc.org/journals/575/
"Clinical and Molecular Allergy : CMA","Clin Mol Allergy","","1476-7961","BMC","","v.21;2023","v.1;2003","Immediate","Some"," Full "," ",http://europepmc.org/journals/564/
"Clinical and Molecular Hepatology","Clin Mol Hepatol","2287-2728","2287-285X","Korean Association for the Study of the Liver","","v.30(2);Apr 2024","v.18;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/1906/
"Clinical Molecular Pathology","Clin Mol Pathol","1355-2910","","BMJ Publishing Group","","v.49(6);Dec 1996","v.48;1995","Immediate","No"," Full "," Predecessor ",http://europepmc.org/journals/565/
"Clinical Nephrology","Clin Nephrol","0301-0430","","Dustri-Verlag","","v.100(6);Dec 2023","v.77;2012","Immediate","All"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Clin+Nephrol%22%5Bjournal%5D
"Clinical Nephrology. Case Studies","Clin Nephrol Case Stud","","2196-5293","Dustri-Verlag","","v.12;2024","v.1;2013","Immediate","All"," Full "," ",http://europepmc.org/journals/3264/
"Clinical Neuropathology","Clin Neuropathol","0722-5091","","Dustri-Verlag","","v.41(3);May-Jun 2022","v.30;2011","Immediate","All"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Clin+Neuropathol%22%5Bjournal%5D
"Clinical Neurophysiology Practice","Clin Neurophysiol Pract","","2467-981X","Elsevier","","v.9;2024","v.1;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3486/
"Clinical Neuropsychiatry","Clin Neuropsychiatry","1724-4935","2385-0787","Giovanni Fioriti Editore","","v.21(2);Apr 2024","v.16;2019","Immediate","Some"," Full "," ",http://europepmc.org/journals/4165/
"Clinical Nutrition Research","Clin Nutr Res","2287-3732","2287-3740","Korean Society of Clinical Nutrition","","v.13(2);Apr 2024","v.1;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/2027/
"Clinical Ophthalmology (Auckland, N.Z.)","Clin Ophthalmol","1177-5467","1177-5483","Dove Press","","v.18;2024","v.1;2007","Immediate","All"," Full "," ",http://europepmc.org/journals/566/
"Clinical Optometry","Clin Optom (Auckl)","","1179-2752","Dove Press","","v.16;2024","v.8;2016","Immediate","All"," Full "," ",http://europepmc.org/journals/3487/
"Clinical Orthopaedics and Related Research","Clin Orthop Relat Res","0009-921X","1528-1132","The Association of Bone and Joint Surgeons","","v.482(6);Jun 2024","v.466;2008","12 months or less","Some"," Full "," ",http://europepmc.org/journals/588/
"Clinics in Orthopedic Surgery","Clin Orthop Surg","2005-291X","2005-4408","Korean Orthopaedic Association","","v.16(3);Jun 2024","v.1;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/567/
"Clinical Parkinsonism &#x0026; Related Disorders","Clin Park Relat Disord","","2590-1125","Elsevier","","v.10;2024","v.1;2019","Immediate","Some"," Full "," ",http://europepmc.org/journals/4102/
"Clinical Pathology","Clin Pathol","","2632-010X","SAGE Publications","","v.17;Jan-Dec 2024","v.12;2019","Immediate","All"," Full "," ",http://europepmc.org/journals/3624/
"Clinical Pediatric Endocrinology","Clin Pediatr Endocrinol","0918-5739","1347-7358","IPEC, Inc.","","v.33(2);2024","v.13;2004","Immediate","All"," Full "," ",http://europepmc.org/journals/2183/
"Clinical Pharmacology : Advances and Applications","Clin Pharmacol","","1179-1438","Dove Press","","v.16;2024","v.1;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/1762/
"Clinics and Practice","Clin Pract","2039-7275","2039-7283","Multidisciplinary Digital Publishing Institute  (MDPI)","","v.14(3);Jun 2024","v.1;2011","Immediate","All"," Full "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Clin+Pract%22%5Bjournal%5D
"Clinical Practice and Cases in Emergency Medicine","Clin Pract Cases Emerg Med","","2474-252X","Department of Emergency Medicine, University of California Irvine","","v.8(2);May 1, 2024","v.1;2017","Immediate","All"," Full "," ",http://europepmc.org/journals/3414/
"Clinical Practice and Epidemiology in Mental Health : CP &#x0026; EMH","Clin Pract Epidemiol Ment Health","","1745-0179","Bentham Science Publishers","","v.20;2024","v.1;2005","Immediate","All"," Full "," ",http://europepmc.org/journals/568/
"Clinical Proteomics","Clin Proteomics","1542-6416","1559-0275","BMC","","v.21;2024","v.7;2011","Immediate","All"," Full "," ",http://europepmc.org/journals/1636/
"Clinical Psychology in Europe","Clin Psychol Eur","","2625-3410","PsychOpen","","v.5(4);Dec 2023","v.2;2020","Immediate","Some"," Full "," ",http://europepmc.org/journals/4339/
"Clinical Psychopharmacology and Neuroscience","Clin Psychopharmacol Neurosci","1738-1088","2093-4327","Korean College of Neuropsychopharmacology","","v.22(2);May 31, 2024","v.9;2011","Immediate","All"," Full "," ",http://europepmc.org/journals/2028/
"The Clinical Respiratory Journal","Clin Respir J","1752-6981","1752-699X","Wiley","","v.18(6);Jun 2024","v.16;2022","Immediate","Some"," Full "," ",http://europepmc.org/journals/4267/
"Clinical Sarcoma Research","Clin Sarcoma Res","","2045-3329","BMC","","v.10;2020","v.1;2011","","All"," Full "," No New Content ",http://europepmc.org/journals/1840/
"Clinics in Shoulder and Elbow","Clin Shoulder Elb","2383-8337","2288-8721","Korean Shoulder and Elbow Society","","v.27(2);Jun 2024","v.21;2018","Immediate","All"," Full "," ",http://europepmc.org/journals/3997/
"Clinical and Translational Allergy","Clin Transl Allergy","","2045-7022","Wiley","","v.14(6);Jun 2024","v.1;2011","Immediate","Some"," Full "," ",http://europepmc.org/journals/1799/
"Clinical and Translational Gastroenterology","Clin Transl Gastroenterol","","2155-384X","American College of Gastroenterology","","v.15(5);May 2024","v.1;2010","Immediate","Some"," Full "," ",http://europepmc.org/journals/1860/
"Clinical &#x0026; Translational Immunology","Clin Transl Immunology","","2050-0068","Australasian Society of Immunology","","v.13(6);2024","v.1;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/2621/
"Clinical and Translational Medicine","Clin Transl Med","","2001-1326","John Wiley & Sons Australia, Ltd on behalf of Shanghai Institute of Clinical Bioinformatics","","v.14(6);Jun 2024","v.1;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/2015/
"Clinical and Translational Radiation Oncology","Clin Transl Radiat Oncol","","2405-6308","Elsevier","","v.47;Jul 2024","v.1;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3370/
"Clinical and Translational Science","Clin Transl Sci","1752-8054","1752-8062","Wiley","","v.17(6);Jun 2024","v.1;2008","Immediate","Some"," Full "," ",http://europepmc.org/journals/3178/
"Clinical Transplantation and Research","Clin Transplant Res","3022-6783","3022-7712","Korean Society for Transplantation","","v.38(1);Mar 31, 2024","v.38;2024","Immediate","All"," Full "," ",http://europepmc.org/journals/4642/
"Clinical and Vaccine Immunology : CVI","Clin Vaccine Immunol","1556-6811","1556-679X","American Society for Microbiology (ASM)","","v.24(12);Dec 2017","v.13;2006","","Some"," Full "," No New Content ",http://europepmc.org/journals/607/
"ClinicoEconomics and Outcomes Research: CEOR","Clinicoecon Outcomes Res","","1178-6981","Dove Press","","v.16;2024","v.1;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/1643/
"Clinics","Clinics (Sao Paulo)","1807-5932","1980-5322","Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo","","v.79;Jan-Dec 2024","v.63;2008","Immediate","Some"," Full "," ",http://europepmc.org/journals/560/
"Clocks &#x0026; Sleep","Clocks Sleep","","2624-5175","Multidisciplinary Digital Publishing Institute  (MDPI)","","v.6(2);Jun 2024","v.1;2019","Immediate","All"," Full "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Clocks+Sleep%22%5Bjournal%5D
"Cloning and Stem Cells","Cloning Stem Cells","1536-2302","1557-7457","Mary Ann Liebert, Inc.","","v.11(4);Dec 2009","v.10;2008","12 months","No"," NIH Portfolio "," Predecessor ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Cloning+Stem+Cells%22%5Bjournal%5D
"Clujul Medical","Clujul Med","1222-2119","2066-8872","Universty of Medicine and Pharmacy of Cluj-Napoca, Romania","","v.91(4);Oct 2018","v.86;2013","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/2824/
"CMAJ : Canadian Medical Association Journal","CMAJ","0820-3946","1488-2329","Canadian Medical Association","","v.196(23);Jun 17, 2024","v.133;1985","0 months or more","Some"," Full "," ",http://europepmc.org/journals/570/
"CMAJ Open","CMAJ Open","","2291-0026","Canadian Medical Association","","v.11(6);Nov-Dec 2023","v.1;2013","Immediate","Some"," Full "," ",http://europepmc.org/journals/2510/
"CNS Drug Reviews","CNS Drug Rev","1080-563X","","Wiley","","v.13(4);Winter 2007","v.7;2001","Immediate","No"," Full "," Predecessor ",http://europepmc.org/journals/3720/
"CNS Neuroscience &#x0026; Therapeutics","CNS Neurosci Ther","1755-5930","1755-5949","Wiley","","v.30(6);Jun 2024","v.14;2008","Immediate","Some"," Full "," ",http://europepmc.org/journals/3676/
"CNS Oncology","CNS Oncol","2045-0907","2045-0915","Taylor &#x0026; Francis","","v.13(1);2024","v.1;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/2966/
"The Cochrane Database of Systematic Reviews","Cochrane Database Syst Rev","","1469-493X","Wiley","","v.2024(6);2024","v.1996;1996","12 months","Some"," Full "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Cochrane+Database+Syst+Rev%22%5Bjournal%5D
"CoDAS","Codas","","2317-1782","Sociedade Brasileira de Fonoaudiologia","","v.36(4);2024","v.34;2022","Immediate","All"," Full "," ",http://europepmc.org/journals/4378/
"Cognitive Neurodynamics","Cogn Neurodyn","1871-4080","1871-4099","Springer Science+Business Media B.V.","","v.18(3);Jun 2024","v.1;2007","12 months or less","Some"," Full "," ",http://europepmc.org/journals/576/
"Cognitive Research: Principles and Implications","Cogn Res Princ Implic","","2365-7464","Springer","","v.9;Dec 2024","v.1;2016","Immediate","All"," Full "," ",http://europepmc.org/journals/3504/
"Cold Spring Harbor Molecular Case Studies","Cold Spring Harb Mol Case Stud","","2373-2873","Cold Spring Harbor Laboratory Press","","v.9(4);Dec 2023","v.1;2015","Immediate","Some"," Full "," ",http://europepmc.org/journals/2917/
"Cold Spring Harbor Perspectives in Biology","Cold Spring Harb Perspect Biol","","1943-0264","Cold Spring Harbor Laboratory Press","","v.14(6);Jun 2022","v.1;2009","24 months or less","No"," Full "," ",http://europepmc.org/journals/600/
"Cold Spring Harbor Perspectives in Medicine","Cold Spring Harb Perspect Med","","2157-1422","Cold Spring Harbor Laboratory Press","","v.13(11);Nov 2023","v.1;2011","24 months","No"," Full "," ",http://europepmc.org/journals/1740/
"Colombia M&#x000e9;dica : CM","Colomb Med (Cali)","0120-8322","1657-9534","Universidad del Valle","","v.54(3);Jul-Sep 2023","v.43;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/2452/
"Communications Biology","Commun Biol","","2399-3642","Nature Publishing Group","","v.7;2024","v.1;2018","Immediate","All"," Full "," ",http://europepmc.org/journals/3509/
"Communications Chemistry","Commun Chem","","2399-3669","Nature Publishing Group","","v.7;2024","v.3;2020","Immediate","All"," Full "," ",http://europepmc.org/journals/4365/
"Communications Engineering","Commun Eng","","2731-3395","Nature Publishing Group","","v.3;2024","v.1;2022","Immediate","All"," Full "," ",http://europepmc.org/journals/4647/
"Communicative &#x0026; Integrative Biology","Commun Integr Biol","","1942-0889","Taylor &#x0026; Francis","","v.17(1);2024","v.1;2008","Immediate","Some"," Full "," ",http://europepmc.org/journals/578/
"Communications Medicine","Commun Med (Lond)","","2730-664X","Nature Publishing Group","","v.4;2024","v.1;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4240/
"Community Eye Health","Community Eye Health","0953-6833","1993-7288","International Centre for Eye Health","","v.37(122);2024","v.11;1998","Immediate","Some"," Full "," ",http://europepmc.org/journals/577/
"Comparative Cytogenetics","Comp Cytogenet","1993-0771","1993-078X","Pensoft Publishers","","v.18;2024","v.5;2011","Immediate","All"," Full "," ",http://europepmc.org/journals/2268/
"Comparative and Functional Genomics","Comp Funct Genomics","1531-6912","1532-6268","Wiley","","v.2012;2012","v.2;2001","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/580/
"Comparative Hepatology","Comp Hepatol","","1476-5926","BMC","","v.11;2012","v.1;2002","","All"," Full "," No New Content ",http://europepmc.org/journals/581/
"Comparative Immunology Reports","Comp Immunol Rep","","2950-3116","Elsevier","","v.6;Jun 2024","v.6;2024","Immediate","Some"," Full "," ",http://europepmc.org/journals/4597/
"Comparative Medicine","Comp Med","1532-0820","2769-819X","American Association for Laboratory Animal Science","","v.74(1);Feb 2024","v.58;2008","6 months","No"," Full "," ",http://europepmc.org/journals/579/
"Complex Psychiatry","Complex Psychiatry","2673-3005","2673-298X","Karger Publishers","","v.10(1-4);Jan-Dec 2024","v.6;2020","6 months","Some"," Full "," ",http://europepmc.org/journals/3988/
"Comprehensive Psychoneuroendocrinology","Compr Psychoneuroendocrinol","","2666-4976","Elsevier","","v.19;Aug 2024","v.1-2;2020","Immediate","Some"," Full "," ",http://europepmc.org/journals/4255/
"Computational Intelligence and Neuroscience","Comput Intell Neurosci","1687-5265","1687-5273","Wiley","","v.2023;2023","v.2007;2007","Immediate","All"," Full "," ",http://europepmc.org/journals/553/
"Computational and Mathematical Methods in Medicine","Comput Math Methods Med","1748-670X","1748-6718","Wiley","","v.2023;2023","v.2011;2011","Immediate","All"," Full "," ",http://europepmc.org/journals/1482/
"Computational Psychiatry","Comput Psychiatr","","2379-6227","Ubiquity Press","","v.8(1);2024","v.5;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4651/
"Computational and Structural Biotechnology Journal","Comput Struct Biotechnol J","","2001-0370","Research Network of Computational and Structural Biotechnology","","v.26;Dec 2024","v.1;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/2397/
"COMSIG Review","COMSIG Rev","","","BMC","","v.4(3);Nov 1, 1995","v.1;1992","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/583/
"Concussion","Concussion","","2056-3299","Future Science Group","","v.8(4);Dec 2023","v.1;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3484/
"Confederate States Medical and Surgical Journal","Confed State Med Surg J","","","Biomedical Journal Digitization Project","","v.2(2);Feb 1865","v.1;1864","","All"," Full "," No New Content ",http://europepmc.org/journals/3599/
"Conflict and Health","Confl Health","","1752-1505","BMC","","v.18;2024","v.1;2007","Immediate","All"," Full "," ",http://europepmc.org/journals/584/
"Conservation Physiology","Conserv Physiol","","2051-1434","Oxford University Press","","v.12(1);2024","v.1;2013","Immediate","Some"," Full "," ",http://europepmc.org/journals/2948/
"Consortium Psychiatricum","Consort Psychiatr","2712-7672","2713-2919","Eco-Vector","","v.4(4);Dec 22, 2023","v.1;2020","Immediate","All"," Full "," ",http://europepmc.org/journals/4592/
"Contact","Contact (Thousand Oaks)","","2515-2564","SAGE Publications","","v.7;Jan-Dec 2024","v.4;2021","Immediate","Some"," Full "," ",http://europepmc.org/journals/4492/
"Contemporary Clinical Dentistry","Contemp Clin Dent","0976-237X","0976-2361","Wolters Kluwer -- Medknow Publications","","v.15(1);Jan-Mar 2024","v.1;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/1649/
"Contemporary Clinical Trials Communications","Contemp Clin Trials Commun","","2451-8654","Elsevier","","v.39;Jun 2024","v.1;2015","Immediate","Some"," Full "," ",http://europepmc.org/journals/3392/
"Contemporary Oncology","Contemp Oncol (Pozn)","1428-2526","1897-4309","Termedia Publishing","","v.28(1);2024","v.16;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/2141/
"Continuity in Education","Contin Educ","","2631-9179","Ubiquity Press","","v.5(1);2024","v.1;2020","Immediate","All"," Full "," ",http://europepmc.org/journals/4650/
"Continuum : Lifelong Learning in Neurology","Continuum (Minneap Minn)","1080-2371","1538-6899","American Academy of Neurology","","v.23(3);Jun 2, 2017","v.18;2012","","No"," NIH Portfolio "," No New Content ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Continuum+(Minneap+Minn)%22%5Bjournal%5D
"Contraception and Reproductive Medicine","Contracept Reprod Med","","2055-7426","BMC","","v.9;2024","v.1;2016","Immediate","All"," Full "," ",http://europepmc.org/journals/3293/
"Contraception: X","Contracept X","","2590-1516","Elsevier","","v.6;2024","v.1;2019","Immediate","Some"," Full "," ",http://europepmc.org/journals/3876/
"Contrast Media &#x0026; Molecular Imaging","Contrast Media Mol Imaging","1555-4309","1555-4317","Hindawi Ltd. and John Wiley and Sons, Inc.","","v.2024;2024","v.2017;2017","Immediate","All"," Full "," ",http://europepmc.org/journals/3252/
"Core Evidence","Core Evid","1555-1741","1555-175X","Dove Press","","v.15;2020","v.1;2005","","All"," Full "," No New Content ",http://europepmc.org/journals/587/
"Cost Effectiveness and Resource Allocation : C/E","Cost Eff Resour Alloc","","1478-7547","BMC","","v.22;2024","v.1;2003","Immediate","All"," Full "," ",http://europepmc.org/journals/589/
"Cough (London, England)","Cough","","1745-9974","BMC","","v.10;2014","v.1;2005","","All"," Full "," No New Content ",http://europepmc.org/journals/590/
"CPT: Pharmacometrics &#x0026; Systems Pharmacology","CPT Pharmacometrics Syst Pharmacol","","2163-8306","Wiley","","v.13(6);Jun 2024","v.1;2012","Immediate","Some"," Full "," ",http://europepmc.org/journals/2071/
"Craniomaxillofacial Trauma &#x0026; Reconstruction","Craniomaxillofac Trauma Reconstr","1943-3875","1943-3883","SAGE Publications","","v.17(2);Jun 2024","v.1;2008","12 months","Some"," Full "," ",http://europepmc.org/journals/1715/
"The CRISPR Journal","CRISPR J","2573-1599","2573-1602","Mary Ann Liebert, Inc.","","v.7(1);February 2024","v.1;2018","Immediate","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22CRISPR+J%22%5Bjournal%5D
"Critical Care","Crit Care","1364-8535","1466-609X","BMC","","v.28;2024","v.1;1997","Immediate","Some"," Full "," ",http://europepmc.org/journals/526/
"Critical Care Explorations","Crit Care Explor","","2639-8028","Wolters Kluwer Health","","v.6(6);Jun 2024","v.1;2019","Immediate","Some"," Full "," ",http://europepmc.org/journals/3810/
"Critical Care Research and Practice","Crit Care Res Pract","2090-1305","2090-1313","Wiley","","v.2024;2024","v.2010;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/1376/
"Critical Care and Resuscitation","Crit Care Resusc","1441-2772","2652-9335","Elsevier","","v.26(1);Mar 2024","v.22;2020","Immediate","Some"," Full "," ",http://europepmc.org/journals/4566/
"Critical Care Science","Crit Care Sci","","2965-2774","Associa&#x00e7;&#x00e3;o de Medicina Intensiva Brasileira","","v.36;2024","v.35;2023","Immediate","All"," Full "," ",http://europepmc.org/journals/4485/
"Critical Ultrasound Journal","Crit Ultrasound J","2036-3176","2036-7902","Springer-Verlag","","v.10;2018","v.4;2012","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/1886/
"Croatian Medical Journal","Croat Med J","0353-9504","1332-8166","Medicinska Naklada","","v.65(3);Jun 2024","v.47;2006","Immediate","Some"," Full "," ",http://europepmc.org/journals/598/
"Crohn's &#x0026; Colitis 360","Crohns Colitis 360","","2631-827X","Oxford University Press","","v.6(2);Apr 2024","v.2;2020","Immediate","Some"," Full "," ",http://europepmc.org/journals/4387/
"CRSLS : MIS Case Reports from SLS","CRSLS","","2376-9254","Society of Laparoscopic &#x0026; Robotic Surgeons","","v.11(1);Jan-Mar 2024","v.8;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4287/
"Curationis","Curationis","0379-8577","2223-6279","AOSIS","","v.47(1);2024","v.38;2015","Immediate","All"," Full "," ",http://europepmc.org/journals/3470/
"Cureus","Cureus","","2168-8184","Cureus Inc.","","v.16(6);Jun 2024","v.4;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/2746/
"Current Cardiology Reviews","Curr Cardiol Rev","1573-403X","1875-6557","Bentham Science Publishers","","v.19(3);Mar 22, 2023","v.4;2008","12 months","Some"," Full "," ",http://europepmc.org/journals/603/
